JUGADOR ;EQUIPO ;PRECIO;POSICION
Frandino, Gabriel Oscar;Argentinos;300000;ARQ
Morales, Diego;Argentinos;500000;ARQ
Peric, Nicolás;Argentinos;2500000;ARQ
Torrico, Sebastián;Argentinos;4300000;ARQ
Berardo, Nicolás;Argentinos;1000000;DEF
Canuto, Ignacio;Argentinos;4200000;DEF
Caruzzo, Matías;Argentinos;3700000;DEF
Domínguez, Federico;Argentinos;4000000;DEF
Fernández, Julián;Argentinos;1000000;DEF
Franco, Daniel Alejandro;Argentinos;300000;DEF
Prósperi, Gonzalo;Argentinos;2500000;DEF
Sabia, Juan Alberto;Argentinos;2400000;DEF
Scotti, Andrés;Argentinos;4100000;DEF
Sola, Maximiliano;Argentinos;400000;DEF
Alfonso, Facundo;Argentinos;600000;VOL
Basualdo, Germán;Argentinos;1900000;VOL
Bogado, Mauro;Argentinos;2000000;VOL
Lima, René;Argentinos;2800000;VOL
Mercier, Juan;Argentinos;4500000;VOL
Ortigoza, Néstor;Argentinos;4800000;VOL
Quiroga, Franco;Argentinos;2400000;VOL
Raymonda, Santiago;Argentinos;4700000;VOL
Rius, Ciro;Argentinos;2400000;VOL
Coria, Facundo;Argentinos;1900000;DEL
García, Diego;Argentinos;1300000;DEL
Gianni, Nicolás;Argentinos;2300000;DEL
Hauche, Gabriel;Argentinos;6100000;DEL
Jaime, Sebastián;Argentinos;800000;DEL
Oberman, Gustavo;Argentinos;3400000;DEL
Pavlovich, Nicolás;Argentinos;4400000;DEL
Romero, Andrés;Argentinos;1900000;DEL
Rotondi, Edgardo;Argentinos;300000;DEL
Salazar, Hernán;Argentinos;400000;DEL
Sosa, Ismael;Argentinos;3000000;DEL
Burrai, Javier Nicolás;Arsenal;300000;ARQ
Campestrini, Cristian;Arsenal;5800000;ARQ
Orcellet, Catriel;Arsenal;1500000;ARQ
Paulucci, Ludovico;Arsenal;300000;ARQ
Brau, Mariano Sebastián;Arsenal;2000000;DEF
Cuesta, Víctor;Arsenal;300000;DEF
Espínola, Darío;Arsenal;2800000;DEF
Matellán, Aníbal;Arsenal;4000000;DEF
Nervo, Hugo;Arsenal;1800000;DEF
Peppino, Franco;Arsenal;3200000;DEF
Pérez, Damián;Arsenal;600000;DEF
Pérez, Matías;Arsenal;2800000;DEF
Reichel, Martín;Arsenal;400000;DEF
Tula, Cristian;Arsenal;3200000;DEF
Aguirre, Nicolás;Arsenal;500000;VOL
Alvarez, Cristian;Arsenal;3600000;VOL
Carabajal, Matías;Arsenal;2500000;VOL
Corro, Alexander;Arsenal;400000;VOL
Galván, Diego;Arsenal;4000000;VOL
Marcone, Iván;Arsenal;1800000;VOL
Mosca, Claudio;Arsenal;300000;VOL
Pérez Castro, Facundo;Arsenal;3000000;VOL
Poggi, Federico;Arsenal;3600000;VOL
Sachetto, Nahuel;Arsenal;1000000;VOL
Sena, Sergio;Arsenal;3800000;VOL
Silva, Facundo;Arsenal;600000;VOL
Yacuzzi, Javier;Arsenal;4300000;VOL
Benedetto, Darío;Arsenal;1800000;DEL
Bottaro, Juan;Arsenal;1900000;DEL
Jara, Franco;Arsenal;3800000;DEL
López, Jonathan;Arsenal;2000000;DEL
Martínez, Mariano;Arsenal;1800000;DEL
Matos, Mauro;Arsenal;4000000;DEL
Medina, Alexander;Arsenal;2200000;DEL
Sierra, Matías Javier;Arsenal;300000;DEL
Speroni, Raúl;Arsenal;700000;DEL
Villalba Fretes, Pablo;Arsenal;300000;DEL
Dei Rossi, Esteban;Atl. Tucumán;900000;ARQ
Ischuk, Lucas;Atl. Tucumán;2500000;ARQ
Azconzábal, Juan Manuel;Atl. Tucumán;2800000;DEF
Barone, Deivis;Atl. Tucumán;2900000;DEF
Bressán, Andrés;Atl. Tucumán;2500000;DEF
Desvaux, Héctor;Atl. Tucumán;3900000;DEF
Herrera, Rodrigo;Atl. Tucumán;400000;DEF
Páez, Javier;Atl. Tucumán;2800000;DEF
Saavedra, Raúl;Atl. Tucumán;3900000;DEF
Villavicencio, Matías;Atl. Tucumán;3300000;DEF
Blanes, Jonathan;Atl. Tucumán;2600000;VOL
Drocco, David;Atl. Tucumán;800000;VOL
Erroz, Diego;Atl. Tucumán;2300000;VOL
Escobar, Matías;Atl. Tucumán;3200000;VOL
García, Matías;Atl. Tucumán;2000000;VOL
González, Claudio;Atl. Tucumán;300000;VOL
Granero, Martín;Atl. Tucumán;2300000;VOL
Longo, Sebastián;Atl. Tucumán;2200000;VOL
Montiglio, César;Atl. Tucumán;2100000;VOL
Musto, Damián;Atl. Tucumán;2300000;VOL
Saavedra, José;Atl. Tucumán;400000;VOL
Sarría, Claudio;Atl. Tucumán;3200000;VOL
Calandria, Pablo;Atl. Tucumán;3500000;DEL
Escobar, Fabio;Atl. Tucumán;2300000;DEL
Gigliotti, Emanuel;Atl. Tucumán;1800000;DEL
Pereyra, Juan;Atl. Tucumán;2100000;DEL
