JUGADOR ;Fecha;Puntaje
Frandino, Gabriel Oscar;1;1
Morales, Diego;1;0
Peric, Nicolás;1;0
Torrico, Sebastián;1;1
Berardo, Nicolás;1;0
Canuto, Ignacio;1;3
Caruzzo, Matías;1;6
Domínguez, Federico;1;6
Fernández, Julián;1;0
Franco, Daniel Alejandro;1;0
Prósperi, Gonzalo;1;3
Sabia, Juan Alberto;1;0
Scotti, Andrés;1;6
Sola, Maximiliano;1;0
Alfonso, Facundo;1;0
Basualdo, Germán;1;0
Bogado, Mauro;1;6
Lima, René;1;0
Mercier, Juan;1;6
Ortigoza, Néstor;1;0
Quiroga, Franco;1;0
Raymonda, Santiago;1;0
Rius, Ciro;1;0
Coria, Facundo;1;5
García, Diego;1;0
Gianni, Nicolás;1;10
Hauche, Gabriel;1;9
Jaime, Sebastián;1;0
Oberman, Gustavo;1;0
Pavlovich, Nicolás;1;0
Romero, Andrés;1;0
Rotondi, Edgardo;1;0
Salazar, Hernán;1;0
Sosa, Ismael;1;6
Burrai, Javier Nicolás;1;0
Campestrini, Cristian;1;3
Orcellet, Catriel;1;0
Paulucci, Ludovico;1;0
Brau, Mariano Sebastián;1;0
Cuesta, Víctor;1;0
Espínola, Darío;1;0
Matellán, Aníbal;1;3
Nervo, Hugo;1;0
Peppino, Franco;1;5
Pérez, Damián;1;0
Pérez, Matías;1;5
Reichel, Martín;1;0
Tula, Cristian;1;5
Aguirre, Nicolás;1;0
Alvarez, Cristian;1;4
Carabajal, Matías;1;0
Corro, Alexander;1;0
Galván, Diego;1;5
Marcone, Iván;1;0
Mosca, Claudio;1;0
Pérez Castro, Facundo;1;3
Poggi, Federico;1;0
Sachetto, Nahuel;1;0
Sena, Sergio;1;5
Silva, Facundo;1;0
Yacuzzi, Javier;1;5
Benedetto, Darío;1;0
Bottaro, Juan;1;5
Jara, Franco;1;6
López, Jonathan;1;0
Martínez, Mariano;1;0
Matos, Mauro;1;0
Medina, Alexander;1;0
Sierra, Matías Javier;1;0
Speroni, Raúl;1;0
Villalba Fretes, Pablo;1;0
Dei Rossi, Esteban;1;0
Ischuk, Lucas;1;1
Azconzábal, Juan Manuel;1;0
Barone, Deivis;1;13
Bressán, Andrés;1;5
Desvaux, Héctor;1;0
Herrera, Rodrigo;1;4
Páez, Javier;1;3
Saavedra, Raúl;1;0
Villavicencio, Matías;1;4
Blanes, Jonathan;1;0
Drocco, David;1;0
Erroz, Diego;1;4
Escobar, Matías;1;0
García, Matías;1;0
González, Claudio;1;0
Granero, Martín;1;5
Longo, Sebastián;1;5
Montiglio, César;1;6
Musto, Damián;1;3
Saavedra, José;1;0
Sarría, Claudio;1;0
Calandria, Pablo;1;0
Escobar, Fabio;1;0
Gigliotti, Emanuel;1;0
Pereyra, Juan;1;5
Rodríguez, Luis;1;6
Bologna, Enrique;1;0
López, Sebastián;1;0
Lucchetti, Cristian;1;9
Barraza, Julio;1;8
Broggi, Ariel;1;0
Bustamante, Marcelo;1;7
Devaca, José;1;0
Dos Santos, Mauro;1;0
Galarza, Marcos;1;0
Ladino, Santiago;1;0
López, Víctor;1;8
Méndez, Sebastián;1;8
Robledo, Gonzalo;1;0
Segovia, Favio;1;0
Vergara, Pablo;1;0
Battión, Roberto;1;0
Bilos, Daniel;1;0
Bustos, Maximiliano;1;5
Erviti, Walter;1;6
Galeano, Diego;1;0
Gómez, Gustavo;1;0
Laso, Maximiliano;1;0
Marchant, Julio;1;0
Pío, Emmanuel;1;0
Quinteros, Marcelo;1;7
Rodríguez, James;1;6
Santana, Fabián;1;0
Sarla, Federico;1;0
Di Vanni, Guido;1;0
Fernández, Sebastián;1;11
Ferreyra, Facundo;1;0
García, Cristian;1;0
Salmerón, Luis;1;0
Silva, Santiago;1;16
Abbondanzieri, Roberto;1;3
Ayala, Josué;1;0
García, Javier;1;0
Aguirre, Leandro;1;0
Alfonso, Omar;1;0
Bonilla, Breyner;1;0
Cáceres, Julio César;1;4
Calvo, José María;1;0
Gunino, Adrián;1;0
Ibarra, Hugo;1;4
Krupoviesa, Juan;1;0
Monzón, Luciano;1;0
Morel Rodríguez, Claudio;1;4
Muñoz, Ezequiel;1;0
Paletta, Gabriel;1;2
Ruiz, Enzo Adrián;1;0
Sauro, Gastón;1;0
Battaglia, S. Alberto;1;0
Battaglia, Sebastián;1;6
Benavídez, Exequiel;1;0
Chávez, Cristian;1;0
Colazo, Nicolás;1;0
Erbes, Cristian;1;0
Gaitán, Nicolás;1;4
Insúa, Federico;1;5
Marino, Guillermo;1;22
Medel, Gary;1;5
Riquelme, Juan Román;1;0
Rosada, Ariel;1;5
Vidal, Sebastián;1;0
Mouche, Pablo;1;6
Noir, Ricardo;1;0
Palermo, Martín;1;4
Philippe, Jonathan;1;0
Viatri, Lucas;1;0
Cejas, Sebastián;1;0
Fernández, Pedro;1;0
Tauber, Nicolás;1;3
Coria, Franco;1;0
Crosa, Diego;1;0
Crosa, Fernando;1;0
Echeverría, Mariano;1;5
Fontana, Fernando;1;0
Grabinski, Cristian;1;5
Gutiérrez, Cristian;1;0
López, Lisandro;1;5
Miranda, Franco;1;0
Núñez, Jorge;1;0
Rosso, Federico;1;0
Centurión, Emanuel;1;5
Frezzotti, Alejandro;1;3
Gómez, José Luis;1;0
Iñíguez, Federico;1;0
Myma, Jorge;1;0
Pereira, Daniel;1;9
Pisano, Matías;1;0
Ponce, Daniel;1;0
Ramírez, Nicolás;1;5
Sciorilli, Sebastián;1;4
Vismara, Federico;1;0
Zarif, Omar;1;5
Alustiza, Matías;1;5
Aróstegui, Juan Manuel;1;4
Cano, Germán;1;0
Churín, Diego;1;0
Giordano, Daniel;1;0
Milla, Cristian;1;4
Morales, Diego;1;0
Parra, Facundo;1;5
Strappini, Emiliano;1;0
Torres, Diego;1;0
Díaz, Marcos;1;0
Gorosito, Iván;1;0
Pozo, Diego;1;3
Caire, Maximiliano;1;4
Candia, Salustiano;1;0
De Miranda, Pablo;1;0
